class,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle
bad_form,133.63761958866704,133.66155214419848,113.59280625268416,118.03102914261731
bad_form,132.91528738755983,133.94846296808777,113.15890640332903,118.79584863993045
bad_form,133.70592546598718,133.5623806330741,113.8047726192231,119.37429025235164
bad_form,134.53906251463852,130.76405091699957,114.67188787849221,118.44968727794071
bad_form,137.08545364233632,129.8949807606041,116.63952565403379,119.66613943015142
bad_form,139.96167493329713,129.1614534280225,119.69017307563881,121.26407035266095
bad_form,142.76901907802304,131.21209654572286,122.4211826902358,124.49858915708523
bad_form,145.0216730729787,133.7231353364042,125.00201623387996,126.86836142278753
bad_form,146.5889852684332,136.3691919242394,126.88662726672813,129.93683928089317
bad_form,149.16095582379467,138.69440774194987,129.3520757409487,132.7522423034642
bad_form,151.9097760579135,142.34560270635353,131.52238322325792,136.29858120166728
bad_form,153.96213889376398,144.03774533558482,133.691142638348,137.94728179348314
bad_form,156.64006107529124,145.95891401890432,135.9330990599691,139.84656214822314
bad_form,158.8426428539339,148.94501721010715,137.3814928872282,141.94126515611492
bad_form,162.03447051172898,152.83525503482366,139.34198320427473,144.411694375283
bad_form,165.12780494348354,156.84182524634818,141.54251310517517,146.7267791035551
bad_form,169.36977285529574,160.70755180926443,143.82044462050789,148.9849944104722
bad_form,173.86189423087322,165.75727975367423,146.32151551234884,151.676376748846
bad_form,178.14962600913438,173.72076303366015,148.78955792567913,155.10678149745084
bad_form,178.57293456609443,178.96340613964526,150.50808598740974,157.06542229972297
bad_form,176.7761559454928,176.7242219899927,151.51566537791624,159.1990703691292
bad_form,176.1125763491553,174.2771078903066,152.40125051193988,160.32613276503955
bad_form,175.75436211063456,172.32596861193144,152.5647240584812,160.83076219542096
bad_form,176.47595227431444,170.77075917028841,153.15158359603595,161.33765694376652
bad_form,176.33313195755113,170.59042272379216,153.4238823069707,161.15611247719488
bad_form,175.54829666556984,171.25259441083827,153.9682051626968,160.71568151263548
bad_form,175.14860572088233,171.8313631625983,154.12562523423256,160.41609240785536
bad_form,175.15856752216166,172.38443430406198,154.14607469883828,160.19162057010297
bad_form,175.1464479100862,172.7581675904686,154.07809640789117,160.16963466372061
bad_form,175.06497523350924,173.0181468394804,154.04698414898957,160.09911523542831
bad_form,175.03868179584018,173.1110046526485,154.0655054484134,160.06819833658992
bad_form,174.8246168906652,173.28186494447883,154.16712314898484,160.03920328718274
bad_form,174.42625182111132,173.72378020239225,154.48814771077565,159.79539204041578
bad_form,173.64339092387644,175.34971672126036,154.9519816631982,159.02620267204335
bad_form,173.21466950661602,177.04600224453742,154.8137056415303,158.0400893710823
bad_form,172.86131634642945,177.31621128723512,154.72177351238975,158.07416312108464
bad_form,173.10238624733887,177.36359868547257,154.59656537597246,158.33315296004497
bad_form,174.05640421350103,177.5335443543961,154.43317370332247,158.26312624197146
bad_form,174.5021773648911,177.51719473491573,154.25086850272328,158.23296903535703
bad_form,176.48202435526443,177.88642216414715,153.47903633396197,158.10977852780584
bad_form,178.65341547940625,178.40777808116115,152.68457467267518,158.00361418511912
bad_form,179.33641715415348,179.0703908847879,152.5109908799004,156.19262576686592
bad_form,175.74607861567472,174.4592630565902,151.35056566925408,153.70459665696288
bad_form,171.58571017817889,168.52566872919445,149.30180458236924,150.52009180593882
bad_form,164.1269472093458,162.63272061568134,144.95900366968812,147.76562366264994
bad_form,160.09731465147968,158.0661534822062,142.19201486686234,145.3003551236793
bad_form,156.57187796793716,154.5913774043245,139.85262763207865,142.9970339183546
bad_form,155.44492876793254,152.91275177283097,138.7054133687405,141.0920777656158
bad_form,155.05021768410484,149.92995619005134,137.46081634392075,139.0447024375908
bad_form,152.94812135225263,148.01865372247718,135.33692527318993,136.30085584906192
bad_form,152.72721381019323,146.19235021823593,133.68232967320722,135.19705592156478
bad_form,150.16217581335388,145.35716093336438,129.98675676211943,134.48068353569005
bad_form,147.7759264122293,144.79149847589852,127.15851488711088,133.72284005420286
bad_form,145.56418290970186,142.40543449292508,124.31018807855358,132.12973625379428
bad_form,143.66823176703926,141.13469194683233,121.71557927040311,130.55638656643094
bad_form,142.07174870396173,138.48804287129298,119.50440111313812,128.4730065965304
bad_form,141.72827657580896,135.58928118271925,118.62029091266976,126.39350221075631
bad_form,140.8804190767921,133.8736500247273,117.74770661523057,124.5715817918566
bad_form,140.7642416211886,131.81059407445724,117.56434925754924,122.66885328436442
bad_form,140.99194412787557,130.40125906705913,117.84309235332539,121.79071547056989
bad_form,141.4768716029125,129.47331250352067,118.83638448785366,120.28753458504573
bad_form,140.06482938806826,127.94643508637299,118.07159637967192,118.97810627703424
bad_form,139.85554258461949,127.1412194304218,118.16979898681782,118.50064995042501
bad_form,140.95548248816252,127.80549677016471,119.68366105283968,118.9066080557833
bad_form,141.95240160463857,127.22898457260303,121.07910071438984,119.1565944478437
bad_form,142.04465814397517,124.91206703363262,121.5508400565251,118.08462469033446
bad_form,144.1272281692906,125.82910234688791,123.74765197665415,119.02312575885094
bad_form,147.35217710695812,128.7589087965674,126.99681134648426,122.17986081321956
bad_form,149.98532371673244,131.9349457766612,129.7205918510852,125.86703130828792
bad_form,151.6334502806412,134.07892580784969,131.3862877798254,129.52928998214503
bad_form,152.82372079320248,136.04418057500618,132.32042137906342,131.27223369363577
bad_form,154.95776909801734,138.98151530780788,134.69679021487798,134.14126743001952
bad_form,157.06284563197983,141.98294927971537,135.38712202067495,136.52762018006283
bad_form,159.03377956380902,146.0977278179258,136.73504290485837,139.35315696108793
bad_form,160.94526934434498,150.86417544139226,138.19210057004202,141.8701584809787
bad_form,163.07325671466904,158.696529148897,139.9239729370542,145.59031737895643
bad_form,164.94968466267153,162.04754546214946,142.19490403941558,147.69550169027602
bad_form,166.72528495128617,164.59358938736543,143.77088279125638,149.29664938471453
bad_form,170.16915132510726,168.122205646255,145.76017169083664,151.80554919032753
bad_form,173.49793179636222,174.0438840962165,147.84254994153227,154.2800049582885
bad_form,178.4535214186153,179.6651272699035,150.21492315896458,156.79809180769513
bad_form,179.4099877805727,175.87292062644465,151.62589079272217,158.2632009902322
bad_form,177.22397961507983,174.82686608300386,153.1399974834434,158.91087449732757
bad_form,176.51314975468927,173.06396927109736,153.12742914722725,160.03805151571518
bad_form,176.85248779534538,171.64392436700248,153.3452414179597,160.89435487324795
bad_form,178.18300815420147,170.91907702359063,154.38722857557298,160.78371614033915
bad_form,177.71838184182624,170.4764977522309,154.81072853972026,160.84488726799046
bad_form,177.52919207753513,171.20733487550723,155.0499812324682,160.36034743539577
bad_form,176.99194958583246,171.44818923206762,155.47814102538723,160.10833200093256
bad_form,176.88474263478165,172.38490971790816,155.33768150566496,159.67308488622038
bad_form,176.6582333595918,173.1925980648063,154.99080510252412,159.6558893876464
bad_form,175.91018427733889,173.7823704991558,154.5464040216242,159.74302369843878
bad_form,175.63786510712728,173.94877072548076,154.3850254698575,159.88892542809816
bad_form,175.200155321736,173.88183944557076,154.6243888908818,159.81508691350805
bad_form,174.86991514401015,174.01719850394585,154.85418456700185,159.7875766309018
bad_form,174.44078443152563,174.14394613240614,155.06788671142394,159.76511033905433
bad_form,174.45607721100458,175.5711628831419,154.61179837707004,159.01102095543462
bad_form,174.08429197618372,175.7139438941037,154.61825358268123,158.9729253215306
bad_form,174.13360495103663,176.28193993292342,154.74358060596145,159.15422449147655
bad_form,174.4419327858056,176.8639666883431,154.3711171091254,159.09537896220422
bad_form,176.42287995294492,178.61890487370445,153.21513310762103,158.65903206974136
bad_form,147.07870761335764,146.01314840306395,135.89771746634878,133.9155597405409
bad_form,146.343121711287,144.26037487117932,132.7831134889315,130.21369667868447
bad_form,144.36955218795427,140.63172201902648,125.38719037690345,120.57457522800556
bad_form,137.60953767007481,133.32830164001498,115.00234315524284,111.20050389969194
bad_form,127.23576154103104,124.32552992833918,104.88153831010862,104.03372690332111
bad_form,120.87568114117782,119.39050913009261,97.79054838218667,97.42705883482535
bad_form,113.42744276556536,116.26245865642481,89.97671131068716,91.08858873878745
bad_form,107.13371954443951,110.26789942378726,82.54541435433367,85.62165173909449
bad_form,102.17585721905755,105.23291494299795,75.84664766986373,79.2227699422063
bad_form,99.99882328130943,105.82184901456213,70.81397880784084,76.95556322574248
bad_form,99.74822253901866,104.3688888362356,66.02302291100199,72.4542121906041
bad_form,98.07041194809628,91.49035906789715,62.16100405194493,66.10658094013542
bad_form,96.27233944499783,96.62279808067498,58.55861033907348,63.35445124899928
bad_form,94.41281581652183,94.58991081544345,55.247395925506794,59.764054705184094
bad_form,91.90861815179468,94.14866128338114,53.49505248527828,57.57257666495224
bad_form,90.34179019691523,93.57900759061451,51.4205885809057,54.59987021514206
bad_form,88.65549866359483,95.52338875635097,49.84021625689775,53.98642744602893
bad_form,87.87573824375666,94.46406038284974,48.57504530901309,53.142497007089105
bad_form,86.47325855935762,91.16600839578022,47.59692539806804,51.934362125052985
bad_form,85.12281645054242,90.78446097461156,46.93086157857198,50.52888285065973
bad_form,84.36574307634801,89.48661767248747,46.6021108096175,49.43732023110573
bad_form,84.01734550648295,89.06473772471105,46.86231755029792,49.76420834808374
bad_form,84.61759310167473,89.41083454107871,47.21599507911509,49.83556626954436
bad_form,84.39648187586852,87.78628941901023,47.6342015783477,49.94417064994235
bad_form,85.24838242053399,88.17443146977426,48.0281824905897,51.089470286106575
bad_form,87.04471274825357,90.56512585442563,50.33093076465991,53.3894354951442
bad_form,89.11391148154274,92.27844707946088,52.5040083595037,55.413303888895655
bad_form,92.32484370722797,99.48459736916604,56.69393873351578,58.683028032972686
bad_form,94.38703254230246,103.60990820381575,60.362175468530495,63.471354531285215
bad_form,101.04017972732562,109.20344630476156,65.4412150409413,69.10275186920785
bad_form,103.36495932665811,111.05779024660683,70.64710280971303,72.70391160790922
bad_form,111.46363192960527,117.34593629207023,76.55562231050527,81.10824668185222
bad_form,115.46062839742295,120.60075715043195,83.12415238386524,87.47367793763647
bad_form,120.72209450319305,123.73638887103398,91.6282314183901,94.20208786650238
bad_form,128.19777892829305,131.14062872035703,99.63788387494697,101.16859990366635
bad_form,142.24005182827716,136.3543485654954,111.59749471688582,112.81915320785143
bad_form,148.31875425080943,143.53643915414608,125.43815900523546,124.02670998324217
bad_form,152.69950812029492,150.76127001985702,134.6094794151119,132.29213674717107
bad_form,158.37368151350006,155.03236469318028,145.55213221694424,144.51514799571143
bad_form,164.87520819993154,160.88674901553202,154.4683421867511,155.64748168316837
bad_form,164.43700684702367,164.20814333823733,158.12403908703703,160.97181988181563
bad_form,169.9268259132595,165.44837011762877,168.36651189058873,167.6532094973604
bad_form,174.09975622444392,170.5609747672972,177.16721418982488,177.62114298717805
bad_form,173.2605878339729,172.6286541951499,177.9614894297947,175.16545735372472
bad_form,171.7231032840954,172.66987062508318,173.92611857744456,171.9036510100017
bad_form,168.01193402350353,171.69333689139592,173.8095851449869,170.48784578970262
bad_form,167.09495765023613,170.00278970748207,172.78180793968448,169.57603309359135
bad_form,167.83063367345724,167.41841194076818,171.6513669686427,168.9957407765278
bad_form,167.87475913810675,166.2193769729287,169.43036571675836,167.59378397643567
bad_form,166.0274135067684,164.965189158786,168.39747676075118,168.3031833851785
bad_form,163.40101371116447,164.41960578429357,171.21345006468712,169.35068114549304
bad_form,162.5466661359869,162.1557780278292,171.57825751330552,172.03805128834895
bad_form,162.96348319075807,159.13410472860875,172.6387545071564,176.08568938116906
bad_form,165.66718048594456,159.33255702690207,172.97404574192967,175.71958128138968
bad_form,167.31666068795792,158.80077008199842,173.8765106939676,177.14864752975254
bad_form,166.32019164538872,157.2626429407699,176.67225568357364,179.51358346766406
bad_form,162.8806912894696,154.57503975189266,178.01290094000106,174.5540781416369
bad_form,160.26711094624665,153.36023160468028,172.59797512126818,171.46554299205494
bad_form,156.12348854456488,150.87391886598934,165.4987163788489,165.34480561259485
bad_form,153.51605442206184,149.49361709602596,157.332851063312,158.4612967331318
bad_form,150.24549492959133,143.42505931932382,149.43731729479475,147.0369727224419
bad_form,148.58336028139072,144.92709535149265,142.4392910676327,140.93267228034566
bad_form,147.56509915341806,146.4262831166892,135.65945381667325,133.92951087373666
bad_form,148.21141221731654,144.68553557571863,130.0707619163313,127.05567491791061
bad_form,149.25129844967486,138.6452962392725,124.17127684378673,115.51888316660862
bad_form,143.683508216695,132.61273008085792,116.62120074439767,107.69728628750468
bad_form,134.02762733310337,125.59141128766792,103.65775285543504,100.69326215554179
bad_form,122.67365859783065,118.90517269691716,92.20686677190719,93.12560880688312
bad_form,111.54091767443822,111.64584698592726,81.09101764209129,83.44324855729661
bad_form,107.2480762017008,107.48232158786641,74.94430490543255,76.80357922886702
bad_form,102.27711515902044,104.36198611492647,69.3295513599873,71.98916276685685
bad_form,99.43006906402799,100.31723765857818,65.54418562975314,68.50278046575545
bad_form,96.46403176636278,97.91038869720958,61.72150454341693,65.38642368231467
bad_form,94.49307669144243,91.32105323283996,58.87323358016175,62.484912439455
bad_form,91.75143100578082,89.10463970966154,56.53083733143313,59.83717563961176
bad_form,89.64063729761541,87.63094051986626,55.24202385972035,58.645408177087006
bad_form,87.64659435018862,90.60797082583002,53.94111086695477,56.45892299333707
bad_form,85.17522404689288,90.69495565714166,52.66512834217946,55.67742361028155
bad_form,82.83898298376347,89.3944453699043,51.77586596738257,56.283866758097304
bad_form,81.67319892209852,88.55362403292739,51.37200092458613,56.17124316499695
bad_form,81.46909032248958,88.4162021777541,51.836186355761015,57.48264676920775
bad_form,82.1551003325607,89.23520038629987,52.53940348886664,58.28719320005996
bad_form,82.70068249822383,89.92988579106978,53.09247388052427,58.86400596447021
bad_form,83.38629186902438,90.1395206190003,53.583334797127634,59.341686235942575
bad_form,85.24722869974659,91.26151160524195,54.73022737100786,60.48412434715891
bad_form,87.9973907113034,91.97087923825227,56.996852593543736,61.87087289616426
bad_form,90.79873644287265,92.66764140862273,60.05570823733689,63.693902315404955
bad_form,93.534834921457,95.38847701032645,63.98304857722718,64.95190414851078
bad_form,95.797440493277,100.19751444502488,67.96678947974328,68.50676549623569
bad_form,100.98558334604766,105.79534685087675,72.06369567009989,74.2564881903013
bad_form,107.13853194879148,111.08031560183372,77.62052973579415,81.68587990287318
bad_form,116.62683260082657,115.3600783023224,87.25022460810857,88.45536646483316
bad_form,122.60874614253356,121.77356230164102,94.87911527364747,97.20901164471093
bad_form,133.95177805036076,130.6929610568471,103.66783232977991,105.66621083812447
bad_form,138.87265853664272,139.0723406092392,115.95688876595904,116.82384356733405
bad_form,145.46562489428996,146.79309341390308,128.04307609338193,127.2822647561429
bad_form,151.34713634507534,150.275719420557,136.000657968721,135.88134383541038
bad_form,154.9297414078419,154.35470889582774,146.2244586033177,146.1444913263291
bad_form,157.91235896976232,158.13383127860823,150.2734032710075,151.15145311800867
bad_form,159.25889912040844,161.81682105853443,155.84876902551923,155.78245632393939
bad_form,163.19914103738324,165.67032999642834,165.40940341593267,165.71690855821063
bad_form,167.35379351934023,169.8002356226866,173.10316707668576,174.93247229923477
