class,left_elbow_angle,right_elbow_angle,left_back_angle,right_back_angle
good_form,89.05439590346329,56.60924634856392,176.03625576026647,167.8288166251406
good_form,89.62051091019687,58.7391669249163,175.90661302681946,167.9277536764136
good_form,92.92787265637968,60.89757200011519,175.7862399816968,167.89776205083814
good_form,95.22432083826476,63.37835596018695,176.11101239193653,167.8479748581167
good_form,93.59138907224929,66.5294709934619,176.03832517592153,167.28747795890985
good_form,92.69536197766166,67.97936825492597,176.11189806149198,167.04711101144872
good_form,93.49752509988639,69.47970090333936,176.26430230032759,165.37071849820492
good_form,91.69108613996463,71.27352149209212,176.6050531358796,164.5628310286183
good_form,94.21513933951331,74.86889248467912,176.59047548763175,164.21891347490345
good_form,97.41799028061092,78.4307053168557,176.44916362604607,164.12068535137053
good_form,104.14069155868364,83.66141734995617,176.147501268428,164.3494941147566
good_form,108.98833956289945,88.40337006821336,176.67135513997036,163.7526462282914
good_form,113.64453375392827,94.87010009803522,176.8649550234931,163.70637375693642
good_form,114.46663894762182,98.87902618902787,177.15074598307422,163.3017689335206
good_form,115.00546938761994,108.6414524305482,177.0794775053339,163.2101141991685
good_form,114.44769346628777,116.6625648400406,177.93231328307084,162.44885149482673
good_form,116.8292819282623,117.64473578041319,178.00493992563042,162.28906643195617
good_form,120.84622733859564,123.98215438674089,177.3739919802418,162.75571791841622
good_form,126.39580672951149,129.4453624557956,175.9232038224503,163.06317166458305
good_form,127.9721626719556,131.46335519084838,174.75047353667645,164.41069104136847
good_form,127.34899804509641,134.42141573392664,173.49186341730734,164.93103280371244
good_form,129.80554250484101,134.7411627042164,173.49917460542733,166.02778760458588
good_form,129.41023667924537,135.7559642609183,173.03068611215653,167.10138823945132
good_form,127.86950704616245,134.38739560089394,172.96331729345616,167.34314995574533
good_form,127.33371664155305,132.59249036745584,173.24794227836333,167.4724911369899
good_form,126.90289977880266,132.16253002958854,174.17534573255182,167.52175387005985
good_form,126.77358578831908,132.3322668578652,175.20019125012612,167.74979990564879
good_form,131.2190243037491,130.63836172749987,174.79827905436272,168.3852236494179
good_form,131.72857121017844,132.68494075316258,175.39459312135224,168.40784909519297
good_form,127.9591437257726,132.25082317561865,175.50543555135974,168.10484383995703
good_form,129.05963978044485,133.96207157052072,175.57632859979003,167.65770898122486
good_form,129.0059368331398,132.6285837092884,175.45995696291433,167.80385496833446
good_form,127.7861873211194,131.60648593055592,174.97332987783722,168.73217479251207
