class,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle
good_form,104.50395831988598,70.95993015491388,172.76556274295027,166.56573855954557
good_form,109.8721462579343,91.65696752727104,171.91787168517814,167.6248890351547
good_form,120.49354138413062,133.32033900261385,171.82937972798166,169.87115268661353
good_form,127.11089607469202,140.09385572078642,175.67771424996576,173.56980188257882
good_form,131.80437525024576,140.52942391033056,176.4941820278446,173.56380595685687
good_form,137.75679508947897,146.32508707786826,177.04875532319434,176.17463365949928
good_form,143.7425291963938,144.3898789087757,175.92124678454167,176.5767853943525
good_form,148.33790069299684,148.99137632150197,177.6012857378711,177.49101775257628
good_form,152.8451045868128,152.7415575988354,178.8730246216568,178.29448145571806
good_form,156.5965319689589,153.700326932792,178.08892203817223,179.20108580379969
good_form,158.59309413958184,154.40245213853387,177.37349226643857,178.8436467748433
good_form,162.02043306843066,158.08237452220203,175.70130132761605,179.7878842765154
good_form,165.23895065946385,152.06173136671882,176.34028263778234,179.77242335542124
good_form,166.21341696913444,156.12503511815,176.19848424276296,179.77234052799528
good_form,167.972672319075,158.6261336087307,177.5654433275433,179.04220947457674
good_form,168.31718664713117,158.45935694477404,178.43634765276732,178.23778561560638
good_form,168.76236274485993,157.3887834666086,178.6255139560145,177.46351505166353
good_form,169.35246190884348,160.2680721722606,177.19196267302414,176.63703093274634
good_form,169.3860799442371,158.4336099194638,175.8258786478806,176.59375065675985
good_form,169.11200883679697,162.10639990788522,176.00209023903187,176.31643367983227
good_form,169.51863587680944,157.19606409002603,175.40037235414331,175.92797853493033
good_form,169.46003137469464,157.48571147262126,174.7049905082987,174.9686552313981
good_form,169.44580528614134,157.23584926391044,175.12133895401595,175.449107135716
good_form,169.21530798753844,157.0579779821801,175.96724199085628,175.83728817404165
good_form,169.43978267188535,158.3678852933768,175.91615091582037,175.73815947099055
good_form,169.23431476220463,156.5673600201748,175.71763488567723,175.97246381675623
good_form,169.18879526592292,155.64310068698788,175.26150572870085,175.66514363890977
good_form,169.0160141194832,155.4009676444201,175.31731916687195,175.8433876083821
good_form,168.69245766687087,155.1194710508558,176.33611141771965,176.5786227248212
good_form,168.12709796706812,153.26574349829912,176.45083631447193,176.7079657285825
good_form,167.21973155649098,152.22704586576643,176.55508537302538,176.86517075793802
good_form,166.46452502507984,153.09911268737073,179.30918282906018,178.39447981379087
good_form,165.09449538867318,151.1500192594132,178.91824129976567,179.42195446094644
good_form,163.5540083870316,154.1303209292796,179.72488462108126,179.83917727787244
good_form,160.96259054716052,154.42097079618185,179.43324073105904,179.69353158956903
good_form,157.02328313262035,152.08107135734534,178.04829427245483,179.43548563264616
good_form,152.96162238324112,146.81260276991128,177.25383139588683,179.05949164871126
good_form,147.15561518608834,146.0095715034474,174.64351118254962,179.93286317778876
good_form,144.2078297673617,143.9802355584322,176.46962565920842,179.40459554020424
good_form,141.5009048383202,138.072283127808,177.879091106574,179.85547275259688
good_form,136.83456011792222,137.77005040035436,177.580825358845,179.72370117482336
good_form,134.25032639391316,134.8751357971383,177.38345053704313,179.42289224994747
good_form,131.87350692555668,135.16000281846271,176.851453973448,179.06204777442372
good_form,130.8155374352483,133.1070145660773,177.4074281905889,178.9666450786864
