class,left_elbow_angle,right_elbow_angle,left_shoulder_swing_angle,right_shoulder_swing_angle
good_form,78.19291671344676,108.07544908695178,27.07946406778231,29.017067551916384
good_form,79.31242620895976,109.86604795037293,27.17651863849287,27.64548442362168
good_form,79.61924211660185,111.50065453521992,28.37473382307551,26.616943509291136
good_form,85.15333788497031,112.96730261023896,28.229027550057715,24.72578841589943
good_form,88.5460782552617,117.5458709674906,27.60668360544477,24.019570569680713
good_form,93.55102249807959,121.88933074395007,27.597908161733887,24.2035703629169
good_form,96.82627472462582,124.76451195827718,27.81944537186859,24.402320892685005
good_form,99.06296775310693,126.42293451826515,29.073634087751113,23.320392082507862
good_form,103.01234668366362,126.24006767558612,29.32665869148896,21.14478086654224
good_form,107.35774120688444,130.47643410273102,28.874389322698416,21.150480150236667
good_form,112.83711401818414,130.08859246526598,28.965707000989624,20.30415806502214
good_form,118.14178777523841,132.99295512887448,28.42924004134076,20.238966892848612
good_form,121.8764661474157,136.55139694317904,27.934727416210396,20.07391437005506
good_form,127.02004560420897,140.72528083500467,26.661494781720318,20.457409281738403
good_form,132.44533491024663,143.59129434850885,25.12551888184086,20.33899523952151
good_form,135.48366429502218,146.04982114854295,25.23885632779275,20.190738406377317
good_form,138.37008627217648,147.71478113658395,25.337240326480075,19.83908341528566
good_form,139.76322091743515,149.03681554591654,25.506794042008412,18.748022808032736
good_form,141.571277222713,149.60689957622978,25.926356779334018,17.65335809552196
good_form,141.60889300620667,149.3272719992658,25.967049962618347,16.84340197796237
good_form,141.44023976297035,149.55330782244124,26.386147343925664,16.138638341776982
good_form,141.95245168923935,152.03847961176265,26.53124393073252,15.878464093865421
good_form,141.20356721388933,150.94793397142507,27.130893610866213,15.337629309381589
good_form,142.69202786001043,149.85470349978107,27.43093479470435,14.638519601554682
good_form,144.19678082920808,150.81183163313779,27.665046041778638,14.308763879513387
good_form,144.38766070317934,150.52586245510523,27.851947361025143,14.033283326342973
good_form,145.64270911615847,150.9383585864849,28.160931835949942,14.232006233586716
good_form,93.00071360715397,108.19678052202258,20.463690224994902,29.07387639227242
good_form,91.3256565015079,107.83431112553417,22.43904060893307,32.58948649973749
good_form,90.7285515104295,102.61279154232129,28.566292807529297,34.02385852823888
good_form,87.15385476963448,99.05841149072798,31.717410069220904,40.89041468690099
good_form,87.70564569590387,87.1144792519305,33.27352123108523,43.75954985937077
good_form,85.452294868266,80.52622760585122,34.66254214783506,42.316137047153774
good_form,81.93943970823153,72.77768189841356,44.04298671158302,42.35874438947503
good_form,82.47917093886718,67.54318318457865,41.593728348187625,42.049385044227414
good_form,79.87677075022191,60.730804596137496,40.20484323464878,41.11592323372242
good_form,71.218437303254,57.54605610260349,37.89734245084728,40.06071020115861
good_form,67.19357421470772,58.198535557370484,37.742479412823506,38.73771162877188
good_form,63.61604814421726,58.77942291013653,37.03292043024933,38.165670758100845
good_form,62.15129059730739,58.7117338003153,36.988924871647804,38.59680609267633
good_form,61.68868070116939,58.82673363982087,36.23502447016553,39.80135934276335
good_form,61.85949356842394,63.08831753842769,35.324359053148186,40.86168622923479
good_form,67.98797499076343,69.58694449637915,35.51854825249999,41.37521010602793
good_form,76.56557200725453,79.89002128562265,35.28532901324741,40.0782626591117
good_form,84.22264729033316,92.68124179794818,34.61010630886172,36.308634239503654
good_form,86.83225089859707,101.78094135756244,31.767270069198148,32.768405503591346
good_form,87.44830024065183,108.84530217146674,29.76144401343781,33.25973536684458
good_form,93.5998965321565,111.25488520298916,29.507658027267837,32.838878390219364
good_form,99.8832088923199,110.45421789982498,29.52796133676368,32.398893314427774
good_form,108.86790862973305,115.0469238157678,28.712020598345365,30.248348501821464
good_form,113.86019381659425,108.38330025690169,27.420481627667346,27.54948726807796
good_form,121.14622423219915,119.28016226996257,28.190837734990733,27.829586388486653
good_form,132.38750456656982,126.97975429905975,29.505751126338428,28.921081761735206
good_form,146.5437430314411,133.52278589055948,30.7878700083275,29.702774432952573
good_form,153.07740671621963,146.389411957232,30.683448425501595,31.79165142938325
good_form,158.08866246348995,154.30000445621553,31.26361525441423,33.343066062958734
good_form,160.59829978490646,161.59030598495457,30.676096089000403,34.841718849481914
good_form,160.9613734050127,165.96511283890118,29.709244586004733,35.66739545675001
good_form,162.07628561976998,170.57547626314098,29.160400353824084,35.99465358508629
good_form,164.22783222372195,170.01097886211966,29.058027959003834,35.4962147960409
good_form,165.8328805958594,171.29122969971283,28.68334570723387,35.43644085463976
good_form,166.97976696869605,172.5439114790193,28.63221075190403,35.09349858904183
good_form,167.2287513134813,172.76900770322194,28.233535892683122,34.597873620510704
good_form,167.53240439550862,173.443654949029,27.99085371836245,34.25906467627119
good_form,166.6372051852179,173.26664888033,27.781729493936396,34.022404180870076
good_form,165.96387467050093,173.1569394970268,27.594142787703163,33.62725976042482
good_form,165.1998897803944,172.72079118960195,27.42965178850605,33.46142454336444
good_form,165.6529002418752,171.36341660885697,27.797433605875632,32.763293175880236
good_form,165.74329528263516,170.48918041891065,27.879020838239438,32.253962595797454
good_form,165.82374086296625,169.8393758672304,28.082811366287274,32.00326808798347
good_form,165.41048064806049,169.36149712233217,28.160771665016988,31.952697840527414
good_form,164.9780854960176,168.8124832114612,28.17732772618131,31.88098810477798
good_form,164.6774457983695,168.41564975841592,28.222141616781858,31.87736998147357
good_form,164.15434547358473,167.20788453116927,28.216296466800596,31.480914965114486
good_form,163.70508815194864,165.37466573865072,28.066125986896584,30.798060541204258
good_form,163.38010009612037,164.44434556772373,27.992155473505104,30.434022268071732
